TBLID,GEOID,GEONAME,ORDER,TITLE,ESTIMATE,MG_ERROR
B06011,05000US04017,"Navajo County, Arizona",3,Born in other state of the United States,"22,204","+/-1,771"
B06011,05000US04017,"Navajo County, Arizona",4,Native; born outside the United States,"26,638","+/-21,205"
B06011,05000US04017,"Navajo County, Arizona",5,Foreign born,"26,028","+/-13,912"
B06011,05000US04019,"Pima County, Arizona",0.5,Median income in the past 12 months --,,
B06011,05000US04019,"Pima County, Arizona",1,Total:,"27,521",+/-693
B06011,05000US04019,"Pima County, Arizona",2,Born in state of residence,"23,628","+/-1,341"
B06011,05000US04019,"Pima County, Arizona",3,Born in other state of the United States,"31,510",+/-738
B06011,05000US04019,"Pima County, Arizona",4,Native; born outside the United States,"31,841","+/-8,865"
B06011,05000US04019,"Pima County, Arizona",5,Foreign born,"24,276","+/-1,910"
B06011,05000US04021,"Pinal County, Arizona",0.5,Median income in the past 12 months --,,
B06011,05000US04021,"Pinal County, Arizona",1,Total:,"28,279","+/-1,518"
B06011,05000US04021,"Pinal County, Arizona",2,Born in state of residence,"25,193","+/-2,920"
B06011,05000US04021,"Pinal County, Arizona",3,Born in other state of the United States,"30,323","+/-1,292"
B06011,05000US04021,"Pinal County, Arizona",4,Native; born outside the United States,"19,712","+/-13,910"
B06011,05000US04021,"Pinal County, Arizona",5,Foreign born,"27,286","+/-4,225"
B06011,05000US04025,"Yavapai County, Arizona",0.5,Median income in the past 12 months --,,
B06011,05000US04025,"Yavapai County, Arizona",1,Total:,"25,711","+/-1,317"
B06011,05000US04025,"Yavapai County, Arizona",2,Born in state of residence,"22,750","+/-2,993"
B06011,05000US04025,"Yavapai County, Arizona",3,Born in other state of the United States,"26,841","+/-1,548"
B06011,05000US04025,"Yavapai County, Arizona",4,Native; born outside the United States,"32,168","+/-23,100"
B06011,05000US04025,"Yavapai County, Arizona",5,Foreign born,"25,178","+/-3,652"
B06011,05000US04027,"Yuma County, Arizona",0.5,Median income in the past 12 months --,,
B06011,05000US04027,"Yuma County, Arizona",1,Total:,"23,737","+/-1,123"
B06011,05000US04027,"Yuma County, Arizona",2,Born in state of residence,"22,194","+/-4,840"
B06011,05000US04027,"Yuma County, Arizona",3,Born in other state of the United States,"26,227","+/-1,596"
B06011,05000US04027,"Yuma County, Arizona",4,Native; born outside the United States,"29,750","+/-11,511"
B06011,05000US04027,"Yuma County, Arizona",5,Foreign born,"20,091","+/-2,315"
B06011,05000US05007,"Benton County, Arkansas",0.5,Median income in the past 12 months --,,
B06011,05000US05007,"Benton County, Arkansas",1,Total:,"33,484","+/-1,272"
B06011,05000US05007,"Benton County, Arkansas",2,Born in state of residence,"33,221","+/-2,896"
B06011,05000US05007,"Benton County, Arkansas",3,Born in other state of the United States,"34,968","+/-1,357"
B06011,05000US05007,"Benton County, Arkansas",4,Native; born outside the United States,"24,353","+/-7,745"
B06011,05000US05007,"Benton County, Arkansas",5,Foreign born,"30,633","+/-1,674"
B06011,05000US05031,"Craighead County, Arkansas",0.5,Median income in the past 12 months --,,
B06011,05000US05031,"Craighead County, Arkansas",1,Total:,"24,452","+/-2,504"
B06011,05000US05031,"Craighead County, Arkansas",2,Born in state of residence,"24,028","+/-2,998"
B06011,05000US05031,"Craighead County, Arkansas",3,Born in other state of the United States,"26,742","+/-6,950"
B06011,05000US05031,"Craighead County, Arkansas",4,Native; born outside the United States,"16,917","+/-16,190"
B06011,05000US05031,"Craighead County, Arkansas",5,Foreign born,"21,829","+/-2,613"
B06011,05000US05045,"Faulkner County, Arkansas",0.5,Median income in the past 12 months --,,
B06011,05000US05045,"Faulkner County, Arkansas",1,Total:,"27,307","+/-3,547"
B06011,05000US05045,"Faulkner County, Arkansas",2,Born in state of residence,"27,437","+/-4,297"
B06011,05000US05045,"Faulkner County, Arkansas",3,Born in other state of the United States,"30,066","+/-5,811"
B06011,05000US05045,"Faulkner County, Arkansas",4,Native; born outside the United States,"30,590","+/-30,609"
B06011,05000US05045,"Faulkner County, Arkansas",5,Foreign born,"17,234","+/-7,499"
B06011,05000US05051,"Garland County, Arkansas",0.5,Median income in the past 12 months --,,
B06011,05000US05051,"Garland County, Arkansas",1,Total:,"24,804","+/-2,246"
B06011,05000US05051,"Garland County, Arkansas",2,Born in state of residence,"25,111","+/-3,258"
B06011,05000US05051,"Garland County, Arkansas",3,Born in other state of the United States,"24,309","+/-4,139"
B06011,05000US05051,"Garland County, Arkansas",4,Native; born outside the United States,"73,082","+/-25,557"
B06011,05000US05051,"Garland County, Arkansas",5,Foreign born,"23,803","+/-3,147"
B06011,05000US05069,"Jefferson County, Arkansas",0.5,Median income in the past 12 months --,,
B06011,05000US05069,"Jefferson County, Arkansas",1,Total:,"23,445","+/-2,972"
B06011,05000US05069,"Jefferson County, Arkansas",2,Born in state of residence,"22,812","+/-3,060"
B06011,05000US05069,"Jefferson County, Arkansas",3,Born in other state of the United States,"25,617","+/-4,092"
B06011,05000US05069,"Jefferson County, Arkansas",4,Native; born outside the United States,-,**
B06011,05000US05069,"Jefferson County, Arkansas",5,Foreign born,"25,958","+/-18,286"
B06011,05000US05085,"Lonoke County, Arkansas",0.5,Median income in the past 12 months --,,
B06011,05000US05085,"Lonoke County, Arkansas",1,Total:,"30,381","+/-2,646"
B06011,05000US05085,"Lonoke County, Arkansas",2,Born in state of residence,"30,320","+/-2,709"
B06011,05000US05085,"Lonoke County, Arkansas",3,Born in other state of the United States,"31,716","+/-5,818"
B06011,05000US05085,"Lonoke County, Arkansas",4,Native; born outside the United States,"22,352","+/-19,820"
B06011,05000US05085,"Lonoke County, Arkansas",5,Foreign born,"24,067","+/-3,418"
B06011,05000US05119,"Pulaski County, Arkansas",0.5,Median income in the past 12 months --,,
B06011,05000US05119,"Pulaski County, Arkansas",1,Total:,"30,108","+/-1,496"
B06011,05000US05119,"Pulaski County, Arkansas",2,Born in state of residence,"26,571","+/-1,397"
B06011,05000US05119,"Pulaski County, Arkansas",3,Born in other state of the United States,"37,597","+/-3,608"
B06011,05000US05119,"Pulaski County, Arkansas",4,Native; born outside the United States,"25,616","+/-10,647"
B06011,05000US05119,"Pulaski County, Arkansas",5,Foreign born,"31,184","+/-3,700"
B06011,05000US05125,"Saline County, Arkansas",0.5,Median income in the past 12 months --,,
B06011,05000US05125,"Saline County, Arkansas",1,Total:,"31,339","+/-1,189"
B06011,05000US05125,"Saline County, Arkansas",2,Born in state of residence,"31,084","+/-1,385"
B06011,05000US05125,"Saline County, Arkansas",3,Born in other state of the United States,"33,740","+/-4,213"
B06011,05000US05125,"Saline County, Arkansas",4,Native; born outside the United States,"30,275","+/-31,957"
B06011,05000US05125,"Saline County, Arkansas",5,Foreign born,"18,257","+/-9,740"
B06011,05000US05131,"Sebastian County, Arkansas",0.5,Median income in the past 12 months --,,
B06011,05000US05131,"Sebastian County, Arkansas",1,Total:,"25,444","+/-1,478"
B06011,05000US05131,"Sebastian County, Arkansas",2,Born in state of residence,"24,992","+/-1,989"
B06011,05000US05131,"Sebastian County, Arkansas",3,Born in other state of the United States,"25,507","+/-2,254"
B06011,05000US05131,"Sebastian County, Arkansas",4,Native; born outside the United States,"12,373","+/-17,874"
B06011,05000US05131,"Sebastian County, Arkansas",5,Foreign born,"27,479","+/-7,045"
B06011,05000US05143,"Washington County, Arkansas",0.5,Median income in the past 12 months --,,
B06011,05000US05143,"Washington County, Arkansas",1,Total:,"28,115","+/-2,454"
B06011,05000US05143,"Washington County, Arkansas",2,Born in state of residence,"26,551","+/-1,905"
B06011,05000US05143,"Washington County, Arkansas",3,Born in other state of the United States,"30,232","+/-2,410"
B06011,05000US05143,"Washington County, Arkansas",4,Native; born outside the United States,"25,395","+/-19,026"
B06011,05000US05143,"Washington County, Arkansas",5,Foreign born,"30,707","+/-3,468"
B06011,05000US05145,"White County, Arkansas",0.5,Median income in the past 12 months --,,
B06011,05000US05145,"White County, Arkansas",1,Total:,"22,719","+/-2,249"
B06011,05000US05145,"White County, Arkansas",2,Born in state of residence,"24,080","+/-3,724"
B06011,05000US05145,"White County, Arkansas",3,Born in other state of the United States,"22,557","+/-3,934"
B06011,05000US05145,"White County, Arkansas",4,Native; born outside the United States,"39,063","+/-53,918"
B06011,05000US05145,"White County, Arkansas",5,Foreign born,"17,074","+/-1,810"
B06011,05000US06001,"Alameda County, California",0.5,Median income in the past 12 months --,,
B06011,05000US06001,"Alameda County, California",1,Total:,"46,125",+/-984
B06011,05000US06001,"Alameda County, California",2,Born in state of residence,"42,587","+/-1,657"
B06011,05000US06001,"Alameda County, California",3,Born in other state of the United States,"58,803","+/-4,159"
B06011,05000US06001,"Alameda County, California",4,Native; born outside the United States,"47,367","+/-7,222"
B06011,05000US06001,"Alameda County, California",5,Foreign born,"43,174","+/-2,404"
B06011,05000US06007,"Butte County, California",0.5,Median income in the past 12 months --,,
B06011,05000US06007,"Butte County, California",1,Total:,"24,872","+/-1,612"
B06011,05000US06007,"Butte County, California",2,Born in state of residence,"24,849","+/-2,161"
B06011,05000US06007,"Butte County, California",3,Born in other state of the United States,"25,751","+/-3,150"
B06011,05000US06007,"Butte County, California",4,Native; born outside the United States,"31,938","+/-16,912"
B06011,05000US06007,"Butte County, California",5,Foreign born,"20,723","+/-4,011"
B06011,05000US06013,"Contra Costa County, California",0.5,Median income in the past 12 months --,,
B06011,05000US06013,"Contra Costa County, California",1,Total:,"41,808",+/-826
B06011,05000US06013,"Contra Costa County, California",2,Born in state of residence,"40,634","+/-1,089"
B06011,05000US06013,"Contra Costa County, California",3,Born in other state of the United States,"56,166","+/-2,947"
B06011,05000US06013,"Contra Costa County, California",4,Native; born outside the United States,"41,665","+/-10,693"
B06011,05000US06013,"Contra Costa County, California",5,Foreign born,"37,217","+/-1,471"
B06011,05000US06017,"El Dorado County, California",0.5,Median income in the past 12 months --,,
B06011,05000US06017,"El Dorado County, California",1,Total:,"37,249","+/-2,859"
B06011,05000US06017,"El Dorado County, California",2,Born in state of residence,"36,702","+/-3,404"
B06011,05000US06017,"El Dorado County, California",3,Born in other state of the United States,"40,194","+/-5,472"
B06011,05000US06017,"El Dorado County, California",4,Native; born outside the United States,"46,660","+/-26,901"
B06011,05000US06017,"El Dorado County, California",5,Foreign born,"33,410","+/-6,112"
B06011,05000US06019,"Fresno County, California",0.5,Median income in the past 12 months --,,
B06011,05000US06019,"Fresno County, California",1,Total:,"25,211",+/-780
B06011,05000US06019,"Fresno County, California",2,Born in state of residence,"26,530","+/-1,028"
B06011,05000US06019,"Fresno County, California",3,Born in other state of the United States,"30,444","+/-2,056"
B06011,05000US06019,"Fresno County, California",4,Native; born outside the United States,"23,790","+/-6,357"
B06011,05000US06019,"Fresno County, California",5,Foreign born,"21,425","+/-1,123"
B06011,05000US06023,"Humboldt County, California",0.5,Median income in the past 12 months --,,
B06011,05000US06023,"Humboldt County, California",1,Total:,"23,963","+/-1,683"
B06011,05000US06023,"Humboldt County, California",2,Born in state of residence,"23,186","+/-1,911"
B06011,05000US06023,"Humboldt County, California",3,Born in other state of the United States,"30,425","+/-4,960"
B06011,05000US06023,"Humboldt County, California",4,Native; born outside the United States,"26,771","+/-53,145"
B06011,05000US06023,"Humboldt County, California",5,Foreign born,"20,021","+/-2,301"
B06011,05000US06025,"Imperial County, California",0.5,Median income in the past 12 months --,,
B06011,05000US06025,"Imperial County, California",1,Total:,"18,731","+/-1,892"
B06011,05000US06025,"Imperial County, California",2,Born in state of residence,"20,439","+/-2,230"
B06011,05000US06025,"Imperial County, California",3,Born in other state of the United States,"17,629","+/-4,374"
B06011,05000US06025,"Imperial County, California",4,Native; born outside the United States,"20,896","+/-13,485"
B06011,05000US06025,"Imperial County, California",5,Foreign born,"17,590","+/-2,397"
B06011,05000US06029,"Kern County, California",0.5,Median income in the past 12 months --,,
B06011,05000US06029,"Kern County, California",1,Total:,"24,850",+/-970
